Time,Object,Mass,X,Y,VX,VY,AX,AY
0.870,3,1000.000000,-1.120,-1.682,4.822,-3.521,9.483,13.368
0.880,1,1000.000000,2.458,-3.982,2.347,2.332,-1.578,2.597
0.880,2,1000000000000.000000,-0.000,0.000,-0.000,0.000,-0.000,-0.000
0.880,3,1000.000000,-1.072,-1.718,4.912,-3.385,9.054,13.598
0.890,1,1000.000000,2.481,-3.958,2.331,2.358,-1.601,2.594
0.890,2,1000000000000.000000,-0.000,0.000,-0.000,0.000,-0.000,-0.000
0.890,3,1000.000000,-1.023,-1.751,4.998,-3.247,8.620,13.811
0.900,1,1000.000000,2.504,-3.935,2.315,2.384,-1.624,2.591
0.900,2,1000000000000.000000,-0.000,0.000,-0.000,0.000,-0.000,-0.000
0.900,3,1000.000000,-0.973,-1.784,5.080,-3.107,8.182,14.009
0.910,1,1000.000000,2.528,-3.911,2.298,2.410,-1.647,2.588
0.910,2,1000000000000.000000,-0.000,0.000,-0.000,0.000,-0.000,-0.000
0.910,3,1000.000000,-0.922,-1.815,5.158,-2.965,7.739,14.191
0.920,1,1000.000000,2.551,-3.887,2.282,2.435,-1.671,2.585
0.920,2,1000000000000.000000,-0.000,0.000,-0.000,0.000,-0.000,-0.000
0.920,3,1000.000000,-0.871,-1.845,5.231,-2.822,7.294,14.357
0.930,1,1000.000000,2.573,-3.862,2.265,2.461,-1.694,2.582
0.930,2,1000000000000.000000,-0.000,0.000,-0.000,0.000,-0.000,-0.000
0.930,3,1000.000000,-0.818,-1.873,5.299,-2.677,6.846,14.507
0.940,1,1000.000000,2.596,-3.838,2.247,2.487,-1.718,2.579
0.940,2,1000000000000.000000,-0.000,0.000,-0.000,0.000,-0.000,-0.000
0.940,3,1000.000000,-0.765,-1.900,5.363,-2.530,6.397,14.641
0.950,1,1000.000000,2.618,-3.813,2.230,2.513,-1.742,2.575
0.950,2,1000000000000.000000,-0.000,0.000,-0.000,-0.000,-0.000,-0.000
0.950,3,1000.000000,-0.712,-1.925,5.422,-2.383,5.946,14.760
0.960,1,1000.000000,2.641,-3.788,2.212,2.539,-1.766,2.572
0.960,2,1000000000000.000000,-0.000,0.000,-0.000,-0.000,-0.000,-0.000
0.960,3,1000.000000,-0.657,-1.949,5.477,-2.234,5.495,14.863
0.970,1,1000.000000,2.663,-3.762,2.194,2.564,-1.790,2.568
0.970,2,1000000000000.000000,-0.000,0.000,-0.000,-0.000,-0.000,-0.000
0.970,3,1000.000000,-0.603,-1.971,5.528,-2.085,5.044,14.951
0.980,1,1000.000000,2.685,-3.737,2.176,2.590,-1.815,2.564
0.980,2,1000000000000.000000,-0.000,0.000,-0.000,-0.000,-0.000,-0.000
0.980,3,1000.000000,-0.547,-1.992,5.574,-1.934,4.593,15.023
0.990,1,1000.000000,2.707,-3.711,2.158,2.615,-1.840,2.560
0.990,2,1000000000000.000000,-0.000,0.000,-0.000,-0.000,-0.000,-0.000
0.990,3,1000.000000,-0.492,-2.011,5.615,-1.784,4.144,15.080
1.000,1,1000.000000,2.728,-3.685,2.139,2.641,-1.864,2.556
1.000,2,1000000000000.000000,-0.000,0.000,-0.000,-0.000,-0.000,-0.000
1.000,3,1000.000000,-0.435,-2.029,5.652,-1.632,3.697,15.123
1.010,1,1000.000000,2.750,-3.658,2.120,2.667,-1.889,2.552
1.010,2,1000000000000.000000,-0.000,0.000,-0.000,-0.000,-0.000,-0.000
1.010,3,1000.000000,-0.379,-2.045,5.685,-1.481,3.252,15.151
1.020,1,1000.000000,2.771,-3.632,2.101,2.692,-1.915,2.548
1.020,2,1000000000000.000000,-0.000,0.000,-0.000,-0.000,-0.000,-0.000
1.020,3,1000.000000,-0.322,-2.060,5.713,-1.329,2.810,15.165
1.030,1,1000.000000,2.792,-3.605,2.082,2.717,-1.940,2.543
1.030,2,1000000000000.000000,-0.000,0.000,-0.000,-0.000,-0.000,-0.000
1.030,3,1000.000000,-0.265,-2.074,5.737,-1.177,2.371,15.164
1.040,1,1000.000000,2.813,-3.577,2.062,2.743,-1.966,2.538
1.040,2,1000000000000.000000,-0.000,0.000,-0.000,-0.000,0.000,-0.000
1.040,3,1000.000000,-0.208,-2.085,5.756,-1.026,1.936,15.150
1.050,1,1000.000000,2.833,-3.550,2.042,2.768,-1.992,2.534
1.050,2,1000000000000.000000,-0.000,0.000,-0.000,-0.000,0.000,-0.000
1.050,3,1000.000000,-0.150,-2.096,5.771,-0.875,1.506,15.122
1.060,1,1000.000000,2.854,-3.522,2.022,2.793,-2.018,2.529
1.060,2,1000000000000.000000,-0.000,0.000,-0.000,-0.000,0.000,-0.000
1.060,3,1000.000000,-0.092,-2.104,5.782,-0.724,1.080,15.082
1.070,1,1000.000000,2.874,-3.494,2.002,2.819,-2.044,2.524
1.070,2,1000000000000.000000,-0.000,0.000,-0.000,-0.000,0.000,-0.000
1.070,3,1000.000000,-0.035,-2.112,5.788,-0.574,0.660,15.028
1.080,1,1000.000000,2.894,-3.466,1.981,2.844,-2.071,2.518
1.080,2,1000000000000.000000,-0.000,0.000,-0.000,-0.000,0.000,-0.000
1.080,3,1000.000000,0.023,-2.117,5.791,-0.424,0.245,14.963
1.090,1,1000.000000,2.914,-3.438,1.960,2.869,-2.098,2.513
1.090,2,1000000000000.000000,-0.000,0.000,-0.000,-0.000,0.000,-0.000
1.090,3,1000.000000,0.081,-2.122,5.789,-0.275,-0.164,14.885
1.100,1,1000.000000,2.933,-3.409,1.939,2.894,-2.125,2.507
1.100,2,1000000000000.000000,-0.000,0.000,-0.000,-0.000,0.000,-0.000
1.100,3,1000.000000,0.139,-2.124,5.783,-0.127,-0.567,14.796
1.110,1,1000.000000,2.953,-3.380,1.917,2.919,-2.152,2.501
1.110,2,1000000000000.000000,-0.000,0.000,-0.000,-0.000,0.000,-0.000
1.110,3,1000.000000,0.197,-2.126,5.774,0.020,-0.963,14.695
1.120,1,1000.000000,2.972,-3.351,1.895,2.944,-2.180,2.495
1.120,2,1000000000000.000000,-0.000,0.000,-0.000,-0.000,0.000,-0.000
1.120,3,1000.000000,0.255,-2.125,5.760,0.166,-1.351,14.584
1.130,1,1000.000000,2.991,-3.322,1.873,2.969,-2.208,2.489
1.130,2,1000000000000.000000,-0.000,0.000,-0.000,-0.000,0.000,-0.000
1.130,3,1000.000000,0.312,-2.124,5.743,0.310,-1.733,14.462
1.140,1,1000.000000,3.010,-3.292,1.851,2.994,-2.236,2.483
1.140,2,1000000000000.000000,-0.000,0.000,-0.000,-0.000,0.000,-0.000
